epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,772.583,0.2871,2.05097,0.98393,0.51159,0.9017,0.65898,0.65608,0.21761,1.25471,0.38461,0.000331111,0.000331111,0.000331111
2,919.733,0.20011,1.24262,0.91933,0.6178,0.95353,0.66345,0.66279,0.20339,1.08961,0.33831,0.000642518,0.000642518,0.000642518
3,1062.8,0.1903,1.06228,0.91151,0.59782,0.96264,0.67773,0.67265,0.35127,0.94871,0.51334,0.000931924,0.000931924,0.000931924
4,1204.22,0.17393,0.98405,0.89875,0.61592,0.92382,0.64911,0.6488,0.24822,0.99871,0.42536,0.000901,0.000901,0.000901
5,1347.61,0.16778,0.90481,0.89724,0.62661,0.98667,0.69058,0.6883,0.25661,0.79893,0.4567,0.000868,0.000868,0.000868
6,1490.36,0.15143,0.84813,0.89364,0.60017,0.96868,0.71648,0.70803,0.24631,0.80534,0.43017,0.000835,0.000835,0.000835
7,1632.91,0.13672,0.79901,0.88921,0.6553,0.92534,0.76693,0.76693,0.18477,0.7959,0.32575,0.000802,0.000802,0.000802
8,1776,0.12833,0.75732,0.88303,0.68639,0.90558,0.76785,0.74865,0.25636,0.70826,0.42967,0.000769,0.000769,0.000769
9,1919.93,0.11957,0.73574,0.88058,0.65647,0.91364,0.7508,0.73405,0.2362,0.7653,0.42689,0.000736,0.000736,0.000736
10,2062.27,0.11738,0.70687,0.88793,0.6592,0.82368,0.78878,0.786,0.22881,0.77621,0.3963,0.000703,0.000703,0.000703
11,2203.33,0.11443,0.6903,0.88459,0.74494,0.93628,0.80703,0.79741,0.25302,0.73613,0.41864,0.00067,0.00067,0.00067
12,2346.21,0.10673,0.66958,0.87241,0.72197,0.89386,0.82901,0.82874,0.20485,0.6375,0.35973,0.000637,0.000637,0.000637
13,2486.53,0.09759,0.64412,0.87874,0.68138,0.91276,0.82078,0.81377,0.24293,0.73856,0.40483,0.000604,0.000604,0.000604
14,2629.73,0.09645,0.61705,0.87195,0.72563,0.9144,0.82868,0.82664,0.17197,0.62474,0.31162,0.000571,0.000571,0.000571
15,2772.61,0.0909,0.61651,0.87011,0.75455,0.8872,0.84767,0.84767,0.14603,0.58735,0.29002,0.000538,0.000538,0.000538
16,2914.53,0.09109,0.60018,0.87296,0.75075,0.91354,0.83206,0.83015,0.16385,0.57243,0.31542,0.000505,0.000505,0.000505
17,3055.52,0.08327,0.59216,0.87431,0.80654,0.90128,0.87371,0.87371,0.19483,0.52271,0.35274,0.000472,0.000472,0.000472
18,3195.09,0.07982,0.56946,0.87461,0.8195,0.85183,0.8542,0.85263,0.14595,0.51223,0.29095,0.000439,0.000439,0.000439
19,3335.28,0.07657,0.55319,0.86888,0.80379,0.89001,0.87125,0.87014,0.16587,0.51147,0.3174,0.000406,0.000406,0.000406
20,3475.56,0.07592,0.56104,0.87546,0.8322,0.89069,0.87531,0.87513,0.17321,0.53545,0.33172,0.000373,0.000373,0.000373
21,3622.49,0.08093,0.47904,0.87886,0.78109,0.92659,0.87913,0.87867,0.16533,0.48474,0.32182,0.00034,0.00034,0.00034
22,3762.74,0.06671,0.43655,0.86903,0.80744,0.91796,0.89667,0.89466,0.15567,0.48377,0.31182,0.000307,0.000307,0.000307
23,3902.35,0.05803,0.40175,0.87219,0.85602,0.88226,0.90054,0.90054,0.15114,0.51032,0.30614,0.000274,0.000274,0.000274
24,4041.12,0.05102,0.3863,0.86712,0.86904,0.89203,0.90824,0.90824,0.16575,0.4782,0.32152,0.000241,0.000241,0.000241
25,4180.71,0.04777,0.35144,0.8675,0.85158,0.92436,0.91194,0.91194,0.18246,0.43508,0.34394,0.000208,0.000208,0.000208
26,4321.29,0.04326,0.33536,0.86472,0.86329,0.91212,0.91497,0.9147,0.17855,0.44455,0.3282,0.000175,0.000175,0.000175
27,4460.86,0.04248,0.33106,0.86119,0.90469,0.89251,0.92969,0.92919,0.17598,0.43406,0.32168,0.000142,0.000142,0.000142
28,4600.15,0.0378,0.31264,0.86422,0.88214,0.92314,0.92881,0.92838,0.16586,0.4186,0.32126,0.000109,0.000109,0.000109
29,4738.67,0.03441,0.29157,0.86274,0.88464,0.90581,0.92443,0.92385,0.13401,0.45463,0.26828,7.6e-05,7.6e-05,7.6e-05
30,4878.1,0.03255,0.28367,0.85764,0.90707,0.89738,0.92643,0.92583,0.14577,0.44383,0.28172,4.3e-05,4.3e-05,4.3e-05
